,0
veripax_total,16.774201051314904
sensor_lag_1,11.89371764126487
veripax_sin_sobt,11.259493171177166
veripax_lag_1,10.340686631612721
veripax_roll_mean_4,8.623198283040399
slot_minute,5.565409367153396
sensor_lag_2,5.26001606399883
veripax_lag_2,4.928863403403401
sensor_roll_mean_4,4.46357490219802
sensor_lag_8,2.554526932070194
veripax_120_180,1.7431393033189155
veripax_roll_mean_8,1.7045545828006288
veripax_to_pax_ratio,1.3237428784191616
veripax_60_120,1.3024102875113754
sensor_roll_mean_8,0.9941416630703348
veripax_lag_4,0.9608472448668596
pasajeros_programados,0.8652353435257042
veripax_lag_8,0.8505766618183169
sensor_lag_4,0.7983935649169568
veripax_180_mas,0.4569565220834399
veripax_0_60,0.3802061337431764
vuelos_programados,0.3641580906426109
dia_semana,0.1976119132667037
mes,0.1203764300135592
es_fin_semana,0.06935582536319908
